,age,workclass,fnlwgt
370,26, Federal-gov,185885
371,17, Private,89821
372,40, State-gov,184018
373,45, Private,256649
374,44, Private,160323
375,20, Local-gov,350845
376,33, Private,267404
377,23, Private,35633
378,46, Self-emp-not-inc,80914
379,38, Private,172927
380,54, Private,174319
381,46, Private,214955
382,25, Private,344991
383,46, Private,108699
384,36, Local-gov,117312
385,23, Private,396099
386,29, Private,134152
387,44, Private,162028
388,19, Private,25429
389,19, Private,232392
390,35, Private,220098
391,27, Private,301302
392,46, Self-emp-not-inc,277946
393,34, State-gov,98101
394,34, Private,196164
395,44, Private,115562
396,45, Private,96975
397,20, ?,137300
398,25, Private,86872
399,52, Self-emp-inc,132178
400,20, Private,416103
401,28, Private,108574
402,50, State-gov,288353
403,34, Private,227689
404,28, Private,166481
405,41, Private,445382
406,28, Private,110145
407,46, Self-emp-not-inc,317253
408,28, ?,123147
409,32, Private,364657
410,41, Local-gov,42346
411,24, Private,241951
412,33, Private,118500
413,46, Private,188386
414,31, State-gov,1033222
415,35, Private,92440
416,52, Private,190762
417,30, Private,426017
418,34, Local-gov,243867
419,34, State-gov,240283
420,20, Private,61777
421,17, Private,175024
422,32, State-gov,92003
423,29, Private,188401
424,33, Private,228528
425,25, Private,133373
426,36, Federal-gov,255191
427,23, Private,204653
428,63, Self-emp-inc,222289
429,47, Local-gov,287480
430,80, ?,107762
431,17, ?,202521
432,40, Self-emp-not-inc,204116
433,30, Private,29662
434,27, Private,116358
435,33, Private,208405
436,34, Local-gov,284843
437,34, Local-gov,117018
438,23, Private,81281
439,42, Local-gov,340148
440,29, Private,363425
441,45, Private,45857
442,24, Federal-gov,191073
443,44, Private,116632
444,27, Private,405855
445,20, Private,298227
446,44, Private,290521
447,51, Private,56915
448,20, Private,146538
449,17, ?,258872
450,19, Private,206399
451,45, Self-emp-inc,197332
452,60, Private,245062
453,42, Private,197583
454,44, Self-emp-not-inc,234885
455,40, Private,72887
456,30, Private,180374
457,38, Private,351299
458,23, Private,54012
459,32, ?,115745
460,44, Private,116632
461,54, Local-gov,288825
462,32, Private,132601
463,50, Private,193374
464,24, Private,170070
465,37, Private,126708
466,52, Private,35598
467,38, Private,33983
468,49, Private,192776
469,30, Private,118551
470,60, Private,201965
471,22, ?,139883
472,35, Private,285020
473,30, Private,303990
474,67, Private,49401
475,46, Private,279196
476,17, Private,211870
477,22, Private,281432
478,27, Private,161155
479,23, Private,197904
480,33, Private,111746
481,43, Self-emp-not-inc,170721
482,28, State-gov,70100
483,41, Private,193626
484,52, ?,271749
485,25, Private,189775
486,63, ?,401531
487,59, Local-gov,286967
488,45, Local-gov,164427
489,38, Private,91039
490,40, Private,347934
491,46, Federal-gov,371373
492,35, Private,32220
493,34, Private,187251
494,33, Private,178107
495,41, Private,343121
496,20, Private,262749
497,23, Private,403107
498,26, Private,64293
499,72, ?,303588
500,23, Local-gov,324960
501,62, Local-gov,114060
502,52, Private,48925
503,58, Private,180980
504,25, Private,181054
505,24, Private,388093
506,19, Private,249609
507,43, Private,112131
508,47, Local-gov,543162
509,39, Private,91996
510,49, Private,141944
511,53, ?,251804
512,32, Private,37070
513,34, Private,337587
514,28, Private,189346
515,57, ?,222216
516,25, Private,267044
517,20, ?,214635
518,21, ?,204226
519,34, Private,108116
520,38, Self-emp-inc,99146
521,50, Private,196232
522,24, Local-gov,248344
523,37, Local-gov,186035
524,44, Private,177905
525,28, Private,85812
526,42, Private,221172
527,74, Private,99183
528,38, Self-emp-not-inc,190387
529,44, Self-emp-not-inc,202692
530,44, Private,109339
531,26, Private,108658
532,36, Private,197202
533,41, Private,101739
534,67, Private,231559
535,39, Local-gov,207853
536,57, Private,190942
537,29, Private,102345
538,31, Self-emp-inc,41493
539,34, ?,190027
540,44, Private,210525
541,29, Private,133937
542,30, Private,237903
543,27, Private,163862
544,27, Private,201872
545,32, Private,84179
546,58, Private,51662
547,35, Local-gov,233327
548,21, Private,259510
549,28, Private,184831
550,46, Self-emp-not-inc,245724
551,36, Self-emp-not-inc,27053
552,72, Private,205343
553,35, Private,229328
554,33, Federal-gov,319560
555,69, Private,136218
556,35, Private,54576
557,31, Private,323069
558,34, Private,148291
559,30, Private,152453
560,28, Private,114053
561,54, Private,212960
562,47, Private,264052
563,24, Private,82804
564,52, Self-emp-not-inc,334273
565,20, Private,27337
566,43, Self-emp-inc,188436
567,45, Private,433665
568,29, Self-emp-not-inc,110663
569,47, Private,87490
570,24, Private,354351
571,51, Private,95469
572,17, Private,242718
573,37, Private,22463
574,27, Private,158156
575,29, Private,350162
576,18, ?,165532
577,36, Self-emp-not-inc,28738
578,58, Local-gov,283635
579,26, Self-emp-not-inc,86646
580,65, ?,195733
581,57, Private,69884
582,59, Private,199713
583,27, Private,181659
584,31, Self-emp-not-inc,340939
585,21, Private,197747
586,29, Private,34292
587,18, Private,156764
588,52, Private,25826
589,57, Self-emp-inc,103948
590,42, ?,137390
591,55, ?,105138
592,60, Private,39352
593,31, Private,168387
594,23, Private,117789
595,27, Private,267147
596,23, ?,99399
597,42, Self-emp-not-inc,214242
598,25, Private,200408
599,49, Private,136455
600,32, Private,239824
601,19, Private,217039
602,60, Private,51290
603,42, Local-gov,175674
604,35, Self-emp-not-inc,194404
605,48, Private,45612
606,51, Private,410114
607,29, Private,182521
608,36, Local-gov,339772
609,17, Private,169658
610,52, Private,200853
611,24, Private,247564
612,24, Private,249909
613,26, Local-gov,208122
614,27, Private,109881
615,39, Private,207824
616,30, Private,369027
617,50, Self-emp-not-inc,114117
618,52, Self-emp-inc,51048
619,46, Private,102388
620,23, Private,190483
621,45, Private,462440
622,65, Private,109351
623,29, Private,34383
624,47, Private,241832
625,30, Private,124187
626,34, Private,153614
627,38, Self-emp-not-inc,267556
628,33, Private,205469
629,49, Private,268090
630,47, Self-emp-not-inc,165039
631,49, Local-gov,120451
632,43, Private,154374
633,30, Private,103649
634,58, Self-emp-not-inc,35723
635,19, Private,262601
636,21, Private,226181
637,33, Private,175697
638,47, Self-emp-inc,248145
639,52, Self-emp-not-inc,289436
640,26, Private,75654
641,60, Private,199378
642,21, Private,160968
643,36, Private,188563
644,31, Private,55849
645,50, Self-emp-inc,195322
646,31, Local-gov,402089
647,71, Private,78277
648,58, ?,158611
649,30, State-gov,169496
650,20, Private,130959
651,24, Private,556660
652,35, Private,292472
653,38, State-gov,143774
654,27, Private,288341
655,29, State-gov,71592
656,70, ?,167358
657,34, Private,106742
658,44, Private,219288
659,43, Private,174524
660,44, Self-emp-not-inc,335183
661,35, Private,261293
662,27, Private,111900
663,43, Local-gov,194360
664,20, Private,81145
665,42, Private,341204
666,27, State-gov,249362
667,42, Private,247019
668,20, ?,114746
669,24, Private,172146
670,48, Federal-gov,110457
671,17, ?,80077
672,17, Self-emp-not-inc,368700
673,33, Private,182556
674,50, Self-emp-inc,219420
675,22, Private,240817
676,17, Private,102726
677,32, Private,226267
678,31, Private,125457
679,58, Self-emp-not-inc,204021
680,29, Local-gov,92262
681,37, Private,161141
682,34, Self-emp-not-inc,190290
683,23, Local-gov,430828
684,18, State-gov,59342
685,34, Private,136721
686,66, ?,149422
687,45, Local-gov,86644
688,41, Private,195124
689,26, Private,167350
690,54, Local-gov,113000
691,24, Private,140027
692,42, Private,262425
693,20, Private,316702
694,23, State-gov,335453
695,25, ?,202480
696,35, Private,203628
697,31, Private,118710
698,30, Private,189620
699,19, Private,475028
700,36, Local-gov,110866
701,31, Private,243605
702,21, Private,163870
703,31, Self-emp-not-inc,80145
704,46, Private,295566
705,44, Private,63042
706,40, Private,229148
707,45, Private,242552
708,60, Private,177665
709,18, Private,208103
710,28, Private,296450
711,36, Private,70282
712,36, Private,271767
713,40, Private,144995
714,36, Local-gov,382635
715,31, Private,295697
716,33, Private,194141
717,19, State-gov,378418
718,22, Private,214399
719,34, Private,217460
720,33, Private,182556
721,41, Private,125831
722,29, Private,271328
723,50, Local-gov,50459
724,42, Private,162140
725,43, Private,177937
726,44, Private,111502
727,20, Private,299047
728,31, Private,223212
729,65, Self-emp-not-inc,118474
730,23, Private,352139
731,55, Private,173093
732,26, Private,181655
733,25, Private,332702
734,45, ?,51164
735,35, Private,234901
736,36, Private,131414
737,43, State-gov,260960
738,56, Private,156052
739,42, Private,279914
740,19, Private,192453
741,55, Self-emp-not-inc,200939
742,42, Private,151408
743,26, Private,112847
744,17, Private,316929
745,42, Local-gov,126319
746,55, Private,197422
747,32, Private,267736
748,29, Private,267034
749,46, State-gov,193047
750,29, State-gov,356089
751,22, Private,223515
752,58, Self-emp-not-inc,87510
753,23, Private,145111
754,39, Private,48093
755,27, Private,31757
756,54, Private,285854
757,33, Local-gov,120064
758,46, Federal-gov,167381
759,37, Private,103408
760,36, Private,101460
761,59, Local-gov,420537
762,34, Local-gov,119411
763,53, Self-emp-inc,128272
764,51, Private,386773
765,32, Private,283268
766,31, State-gov,301526
767,22, Private,151790
768,47, Self-emp-not-inc,106252
769,32, Private,188557
770,26, Private,171114
771,37, Private,327323
772,31, Private,244147
773,37, Private,280282
774,55, Private,116442
775,23, Local-gov,282579
776,36, Private,51838
777,34, Private,73585
778,43, Private,226902
779,54, Private,279129
780,43, State-gov,146908
781,28, Private,196690
782,40, Private,130760
783,41, Self-emp-not-inc,49572
784,40, Private,237601
785,42, Private,169628
786,61, Self-emp-not-inc,36671
787,18, Private,231193
788,59, ?,192130
789,21, ?,149704
790,48, Private,102102
791,41, Self-emp-inc,32185
792,18, ?,196061
793,23, Private,211046
794,60, Private,31577
795,22, Private,162343
796,61, Private,128831
797,25, Private,316688
798,46, Private,90758
799,43, Private,274363
800,43, Private,154538
801,24, Private,106085
802,68, Self-emp-not-inc,315859
803,31, Private,51471
804,17, Private,193830
805,32, Private,231043
806,50, ?,23780
807,33, Private,169879
808,64, Private,270333
809,20, Private,138768
810,30, Private,191571
811,22, ?,219941
812,43, Private,94113
813,22, Private,137510
814,17, Private,32607
815,47, Self-emp-not-inc,93208
816,41, Private,254440
817,56, Private,186556
818,64, Private,169871
819,47, Private,191277
820,48, Private,167159
821,31, Private,171871
822,29, Private,154411
823,30, Private,129227
824,32, Private,110331
825,57, Private,34269
826,62, Private,174355
827,39, Private,680390
828,43, Private,233130
829,24, Self-emp-inc,165474
830,42, ?,257780
831,53, Private,194259
832,26, Private,280093
833,73, Self-emp-not-inc,177387
834,72, ?,28929
835,55, Private,105304
836,25, Private,499233
837,41, Private,180572
838,24, Private,321435
839,63, Private,86108
840,17, Private,198124
841,35, Private,135162
842,51, Private,146813
843,62, Local-gov,291175
844,55, Private,387569
845,43, Private,102895
846,40, Local-gov,33274
847,37, Private,86551
848,39, Private,138192
849,31, Private,118966
850,61, Private,99784
851,26, Private,90980
852,46, Self-emp-not-inc,177407
853,26, Private,96467
854,48, State-gov,327886
855,34, Private,111567
856,34, Local-gov,166545
857,59, Private,142182
858,34, Private,188798
859,49, Private,38563
860,18, Private,216284
861,43, Private,191547
862,48, Private,285335
863,28, Self-emp-inc,142712
864,33, Private,80945
865,24, Private,309055
866,21, Private,62339
867,17, Private,368700
868,39, Private,176186
869,29, Self-emp-not-inc,266855
870,44, Private,48087
871,24, Private,121313
872,71, Self-emp-not-inc,143437
873,51, Self-emp-not-inc,160724
874,55, Private,282753
875,41, Private,194636
876,23, Private,153044
877,38, Private,411797
878,39, Private,117683
879,19, Private,376540
880,49, Private,72393
881,32, Private,270335
882,27, Private,96226
883,38, Private,95336
884,33, Private,258498
885,63, ?,149698
886,23, Private,205865
887,33, Self-emp-inc,155781
888,54, Self-emp-not-inc,406468
889,29, Private,177119
890,48, ?,144397
891,35, Self-emp-not-inc,372525
892,28, Private,164170
893,37, Private,183800
894,42, Self-emp-not-inc,177307
895,40, Private,170108
896,47, Private,341995
897,22, Private,226508
898,30, Private,87418
899,28, Private,109165
900,63, Local-gov,28856
901,51, Self-emp-not-inc,175897
902,22, Private,99697
903,27, ?,90270
904,35, Private,152375
905,46, Private,171550
906,37, Private,211154
907,24, Private,202570
908,37, Self-emp-not-inc,168496
909,53, Private,68898
910,27, Private,93235
911,38, Private,278924
912,53, Self-emp-not-inc,311020
913,34, Private,175878
914,23, Private,543028
915,39, Private,202027
916,43, Private,158926
917,67, Self-emp-inc,76860
918,81, Self-emp-not-inc,136063
919,21, Private,186648
920,23, Private,257509
921,25, Private,98155
922,42, Private,274198
923,38, Private,97083
924,64, ?,29825
925,32, Private,262153
926,37, Private,214738
927,51, Private,138022
928,22, Private,91842
929,33, Private,373662
930,42, Private,162003
931,19, ?,52114
932,51, Local-gov,241843
933,23, Private,375871
934,37, Private,186934
935,37, Private,176900
936,47, Private,21906
937,41, Private,132222
938,33, Private,143653
939,31, Private,111567
940,31, Private,78602
941,35, Private,465507
942,38, Self-emp-inc,196373
943,18, Private,293227
944,20, Private,241752
945,54, Local-gov,166398
946,40, Private,184682
947,36, Self-emp-inc,108293
948,43, Private,250802
949,44, Self-emp-not-inc,325159
950,44, State-gov,174675
951,43, Private,227065
952,51, Private,269080
953,18, Private,177722
954,51, Private,133461
955,41, Private,239683
956,44, Self-emp-inc,398473
957,33, Local-gov,298785
958,33, Self-emp-not-inc,123424
959,42, Private,176286
960,25, Private,150062
961,32, Private,169240
962,32, Private,288273
963,36, Private,526968
964,28, Private,57066
965,20, Private,323573
966,35, Self-emp-inc,368825
967,55, Self-emp-not-inc,189721
968,48, Private,164966
969,36, ?,94954
970,34, Private,202046
971,28, Private,161538
972,67, Private,105252
973,37, Private,200153
974,44, Private,32185
975,25, Private,178326
976,21, Private,255957
977,40, State-gov,188693
978,78, Private,182977
979,34, Private,159929
980,49, Private,123207
981,22, Private,284317
982,23, ?,184699
983,60, Self-emp-not-inc,154474
984,45, Local-gov,318280
985,63, Private,254907
986,41, Private,349221
987,47, Private,335973
988,44, Private,126701
989,51, Private,122159
990,46, Private,187370
991,41, Private,194636
992,50, Self-emp-not-inc,124793
993,47, Private,192835
994,35, Private,290226
995,56, Private,112840
996,45, Private,89325
997,48, Federal-gov,33109
998,40, Private,82465
999,39, Self-emp-inc,329980
1000,20, Private,148294
1001,50, Private,168212
1002,38, State-gov,343642
1003,23, Local-gov,115244
1004,31, Private,162572
1005,58, Private,356067
1006,66, Private,271567
1007,39, Self-emp-inc,180804
1008,54, Self-emp-not-inc,123011
1009,26, Private,109186
1010,51, Private,220537
1011,34, Private,124827
1012,50, Private,767403
1013,42, Private,118494
1014,38, Private,173208
1015,48, Private,107373
1016,33, Private,26973
1017,51, Private,191965
1018,22, Private,122346
1019,19, ?,117201
1020,41, Private,198316
1021,48, Local-gov,123075
1022,42, Private,209370
1023,34, Private,33117
1024,23, Private,129042
1025,56, Private,169133
1026,30, Private,201624
1027,45, Private,368561
1028,48, Private,207848
1029,48, Self-emp-inc,138370
1030,31, Private,93106
1031,20, State-gov,223515
1032,27, Private,389713
1033,32, Private,206365
1034,76, ?,431192
1035,19, ?,241616
1036,66, Self-emp-inc,150726
1037,37, Private,123785
1038,34, Private,289984
1039,34, ?,164309
1040,90, Private,137018
1041,23, Private,137994
1042,43, Private,341204
1043,44, Private,167005
1044,24, Private,34446
1045,28, Private,187160
1046,64, ?,196288
1047,23, Private,217961
1048,20, Private,74631
1049,36, Private,156667
1050,61, Private,125155
1051,53, Self-emp-not-inc,263925
1052,30, Private,296453
1053,52, Self-emp-not-inc,44728
1054,38, Private,193026
1055,32, Private,87643
1056,30, Self-emp-not-inc,106742
1057,41, Private,302122
1058,49, Local-gov,193960
1059,45, Private,185385
1060,43, Self-emp-not-inc,277647
1061,61, Private,128848
1062,54, Private,377701
1063,34, Private,157886
1064,49, Private,175958
1065,38, Private,223004
1066,35, Private,199352
1067,36, Private,29984
1068,30, Private,181651
1069,36, Private,117312
1070,22, Local-gov,34029
1071,38, Private,132879
1072,37, Private,215310
1073,48, State-gov,55863
1074,17, Private,220384
1075,19, Self-emp-not-inc,36012
1076,27, Private,137645
1077,22, Private,191342
1078,49, Private,31339
1079,43, State-gov,227910
1080,43, Private,173728
1081,19, Local-gov,167816
1082,58, Self-emp-not-inc,81642
1083,41, Local-gov,195258
1084,31, Private,232475
1085,30, Private,241259
1086,32, Private,118161
1087,29, Private,201954
1088,42, Private,150533
1089,38, Private,412296
1090,41, Federal-gov,133060
1091,44, Self-emp-not-inc,120539
1092,31, Private,196025
1093,34, Private,107793
1094,21, Private,163870
1095,22, Self-emp-not-inc,361280
1096,62, Private,92178
1097,19, ?,80710
1098,29, Self-emp-inc,260729
1099,43, Private,182254
1100,68, ?,140282
1101,45, Self-emp-inc,149865
1102,39, Self-emp-inc,218184
1103,41, Private,118619
1104,34, Self-emp-not-inc,196791
1105,34, Local-gov,167999
1106,31, Private,51259
1107,29, Private,131088
1108,41, Private,118212
1109,41, Private,293791
1110,35, Self-emp-inc,289430
1111,33, Private,35378
1112,37, State-gov,60227
1113,69, Private,168139
1114,34, Private,290763
1115,60, Self-emp-inc,226355
1116,36, Private,51100
1117,41, Private,227644
1118,58, Local-gov,205267
1119,53, Private,288020
1120,29, Private,140863
1121,45, Federal-gov,170915
1122,34, State-gov,50178
1123,36, Private,112497
1124,48, Private,95244
1125,20, Private,117606
1126,35, Private,89508
1127,63, Federal-gov,124244
1128,41, Self-emp-not-inc,154374
1129,28, Private,294936
1130,30, Private,347132
1131,34, ?,181934
1132,31, Private,316672
1133,37, Private,189382
1134,42, ?,184018
1135,31, Private,184307
1136,46, Self-emp-not-inc,246212
1137,35, Federal-gov,250504
1138,27, Private,138705
1139,41, Private,328447
1140,19, Private,194608
1141,20, Private,230891
1142,59, Federal-gov,212448
1143,40, Private,214010
1144,56, Self-emp-not-inc,200235
1145,33, Private,354573
1146,30, Self-emp-inc,205733
1147,46, Private,185041
1148,61, Self-emp-inc,84409
1149,50, Self-emp-inc,293196
1150,25, Private,241626
1151,40, Private,520586
1152,24, ?,35633
1153,51, Private,302847
1154,43, State-gov,165309
1155,34, Private,117529
1156,46, Private,106092
1157,28, State-gov,445824
1158,26, Private,227332
1159,20, Private,275691
1160,44, Private,193459
1161,51, Private,284329
1162,33, Private,114691
1163,54, Private,96062
1164,50, Private,133963
1165,33, Private,178506
1166,65, Private,350498
1167,22, ?,131573
1168,88, Self-emp-not-inc,206291
1169,40, Private,182302
1170,51, Private,241346
1171,50, Private,157043
1172,25, Private,404616
1173,20, Private,411862
1174,47, Private,183013
1175,58, ?,169982
1176,22, Private,188544
1177,50, State-gov,356619
1178,47, Private,45857
1179,24, Local-gov,289886
1180,50, ?,146015
1181,40, Private,216237
1182,36, Private,416745
1183,32, Private,202952
1184,44, Private,167725
1185,51, ?,165637
1186,59, Federal-gov,43280
1187,65, Private,118779
1188,24, State-gov,191269
1189,27, Local-gov,247507
1190,51, Private,239155
1191,48, Private,182862
1192,39, Private,33886
1193,28, Private,444304
1194,19, Private,187161
1195,49, Local-gov,116892
1196,51, Local-gov,176813
1197,59, Private,151616
1198,18, Private,240747
1199,50, Private,75472
1200,45, Federal-gov,320818
1201,30, Local-gov,235271
1202,37, Private,166497
1203,44, Private,344060
1204,33, Private,221196
1205,61, Self-emp-inc,113544
1206,61, Local-gov,321117
1207,38, Private,79619
1208,22, ?,42004
1209,36, Private,135289
1210,44, Self-emp-inc,320984
1211,37, Private,203070
1212,31, Private,32406
1213,54, Private,99185
1214,20, Private,205839
1215,63, ?,150389
1216,48, Self-emp-not-inc,243631
1217,33, ?,163003
1218,31, Private,231263
1219,38, Private,200818
1220,45, Self-emp-not-inc,247379
1221,48, Private,349151
1222,53, Private,22154
1223,55, Private,176317
